week_num,sku_num,beer_brand,sku_size_oz,bottle,light_color,amber_color,golden_color,lite_beer,regular_beer,ad_spend,price_per_oz,beer_distbn,promo,beer_sales_vol,month
5,8,Bud,72.00000002,0,1,0,0,1,0,151079.0003,0.067284328,0.4,1,5040,2
4,73,Miller,144,1,1,0,0,0,1,15313,0.043968811,0.854545454,5.250000002,37295.99995,1
2,75,Miller,72.00000002,1,1,0,0,0,1,15313,0.048511418,0.418181818,1,5471.999998,1
2,80,Miller,240.0000001,1,1,0,0,1,0,151965.9999,0.034403906,0.036363636,1,7440.000001,1
14,69,Michelbob,72.00000002,1,0,1,0,1,0,1,0.072950761,0.472727273,1,7127.999999,4
7,42,Heineken,72.00000002,0,0,0,1,0,1,58738.00025,0.099179167,0.690909091,70.39000003,10584,2
14,78,Miller,72.00000002,1,1,0,0,1,0,151965.9999,0.060118425,0.2,1,6695.999999,4
10,72,Miller,95.99999998,0,1,0,0,0,1,15313,0.036598761,0.345454545,1,8351.999999,3
7,22,Coors,48.00000002,0,1,0,0,0,1,6358.999998,0.074435837,0.327272727,1,2544.000001,2
1,78,Miller,72.00000002,1,1,0,0,1,0,151965.9999,0.05819595,0.181818182,1,5688.000003,1
11,72,Miller,95.99999998,0,1,0,0,0,1,15313,0.03681493,0.381818182,1,8543.999998,3
5,14,Bud,216,1,0,0,1,0,1,1,0.062444218,0.327272727,101,11448,2
7,23,Coors,144,0,1,0,0,0,1,6358.999998,0.057767044,0.490909091,53.17000003,6624,2
13,71,Miller,144,1,1,0,0,0,1,85000.99999,0.058210548,0.381818182,98.14000003,5040,4
7,61,Michelbob,144,1,0,0,1,0,1,785.0000002,0.057146909,0.6,72.23999999,22031.99998,2
7,72,Miller,95.99999998,0,1,0,0,0,1,15313,0.036895627,0.363636364,1,9984.000004,2
14,67,Michelbob,72.00000002,1,1,0,0,1,0,39337.99993,0.072079924,0.818181819,1,26496.00007,4
8,64,Michelbob,144,1,1,0,0,1,0,2205,0.060391567,0.963636363,70.62999997,73007.99977,2
14,29,Coors,144,1,1,0,0,0,1,6358.999998,0.061356304,0.381818182,1,6048.000001,4
13,81,Miller,144,1,1,0,0,1,0,151965.9999,0.059727867,0.927272727,97.78999997,35856.00014,4
2,71,Miller,144,1,1,0,0,0,1,85000.99999,0.053254639,0.527272727,78.18999999,8207.999997,1
13,24,Coors,72.00000002,0,1,0,0,1,0,140427,0.068073757,0.909090909,1,20808,4
13,68,Michelbob,144,1,1,0,0,1,0,1,0.061879725,0.945454545,1,48528,4
13,18,Bud,144,0,1,0,0,0,1,124692.0005,0.059784539,0.981818181,1,72720.00008,4
10,7,Bud,63.99999998,1,1,0,0,0,1,124692.0005,0.080034332,0.072727273,1,384.0000002,3
13,10,Bud,144,0,1,0,0,1,0,151079.0003,0.059903472,1,1,62208.00014,4
11,31,Corona,72.00000002,1,1,0,0,0,1,38192.00005,0.109348757,0.963636363,1,37871.99993,3
10,81,Miller,144,1,1,0,0,1,0,151965.9999,0.057934336,0.872727273,1,35424.00016,3
14,66,Michelbob,144,0,1,0,0,1,0,39337.99993,0.061532335,0.854545454,1,37295.99995,4
4,77,Miller,144,1,1,0,0,1,0,15313,0.043656177,0.236363636,1,5616.000002,1
2,31,Corona,72.00000002,1,1,0,0,0,1,38192.00005,0.110257081,0.963636363,1,30816.00017,1
4,28,Coors,72.00000002,1,1,0,0,1,0,140427,0.066343144,0.981818181,1,21527.99999,1
4,26,Coors,144,1,1,0,0,1,0,140427,0.057562722,0.981818181,61.63999997,102815.9998,1
8,8,Bud,72.00000002,0,1,0,0,1,0,151079.0003,0.067460079,0.472727273,1,5040,2
7,79,Miller,144,1,1,0,0,1,0,151965.9999,0.059890437,0.927272727,40.39000002,47519.99981,2
14,26,Coors,144,1,1,0,0,1,0,140427,0.060331297,1,1,118080,4
10,18,Bud,144,0,1,0,0,0,1,124692.0005,0.058351041,0.981818181,94.24000001,80928.00004,3
5,19,Bud,144,1,1,0,0,0,1,124692.0005,0.057320985,0.963636363,94.06000005,62208.00014,2
13,41,Heineken,144,0,0,0,1,0,1,58738.00025,0.098228743,0.927272727,16.09,38160.00017,4
11,71,Miller,144,1,1,0,0,0,1,85000.99999,0.057534632,0.327272727,1,4176.000002,3
7,41,Heineken,144,0,0,0,1,0,1,58738.00025,0.098096931,0.927272727,98.19999996,30816.00017,2
4,65,Michelbob,144,1,1,0,0,1,0,39337.99993,0.062640909,0.981818181,60.89000002,133920.0006,1
13,7,Bud,63.99999998,1,1,0,0,0,1,124692.0005,0.078678508,0.2,1,1152,4
11,7,Bud,63.99999998,1,1,0,0,0,1,124692.0005,0.07785931,0.090909091,1,447.9999998,3
7,78,Miller,72.00000002,1,1,0,0,1,0,151965.9999,0.059361822,0.2,1,5400.000002,2
5,79,Miller,144,1,1,0,0,1,0,151965.9999,0.060664445,0.945454545,56.56000002,69983.99976,2
11,26,Coors,144,1,1,0,0,1,0,140427,0.059088314,0.981818181,1,86688.00044,3
2,12,Bud,63.99999998,1,1,0,0,1,0,151079.0003,0.07771534,0.127272727,1,960.0000005,1
7,1,Amstel,144,0,0,1,0,1,0,14758.00001,0.097652182,0.436363636,7.119999997,7056.000002,2
13,12,Bud,63.99999998,1,1,0,0,1,0,151079.0003,0.078545881,0.218181818,1,1600,4
14,2,Amstel,72.00000002,1,0,1,0,1,0,14758.00001,0.10008384,0.763636364,1,17424,4
1,14,Bud,216,1,0,0,1,0,1,1,0.054164199,0.218181818,101,4104.000001,1
11,29,Coors,144,1,1,0,0,0,1,6358.999998,0.06018551,0.381818182,1,6336.000003,3
7,11,Bud,144,1,1,0,0,1,0,151079.0003,0.058381944,0.963636363,50.14999998,76175.99989,2
1,15,Bud,216,0,0,0,1,0,1,1,0.062444218,0.2,101,4104.000001,1
10,38,Heineken,144,1,0,0,1,0,1,58738.00025,0.09837769,0.963636363,96.79999997,106271.9996,3
5,2,Amstel,72.00000002,1,0,1,0,1,0,14758.00001,0.097176797,0.872727273,77.05000002,22248.00009,2
11,67,Michelbob,72.00000002,1,1,0,0,1,0,39337.99993,0.072193403,0.818181819,1,23328.00012,3
