survived,pclass,sex,age,sibsp,parch,fare,embarked,title,solo
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
1,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
1,3rd,female,18.454561,2,0,23.25,Queenstown,Miss,0
1,3rd,female,18.454561,2,0,23.25,Queenstown,Miss,0
1,3rd,male,28.79474706,2,0,23.25,Queenstown,Mr,0
1,3rd,female,24.39628354,0,0,7.7874999,Queenstown,Miss,1
0,3rd,male,33.79621814,0,0,15.5,Queenstown,Mr,1
1,3rd,female,24.21327665,0,0,7.87919998,Queenstown,Miss,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
0,3rd,female,24.53010458,0,0,8.05000019,Southampton,Miss,1
0,3rd,female,35.46524177,0,0,8.05000019,Southampton,Mrs,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
1,3rd,female,24.21327665,0,0,7.87919998,Queenstown,Miss,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
1,3rd,female,19.8140765,1,0,24.1499996,Queenstown,Miss,0
0,3rd,male,32.29941131,1,0,24.1499996,Queenstown,Mr,0
0,3rd,male,31.37309134,0,0,8.45829964,Queenstown,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
1,3rd,male,28.42336593,0,0,7.7750001,Southampton,Mr,1
1,3rd,male,6.996944971,1,1,15.2458,Cherbourg,Master,0
1,3rd,male,6.996944971,1,1,15.2458,Cherbourg,Master,0
1,3rd,female,28.98645715,0,2,15.2458,Cherbourg,Mrs,0
1,3rd,female,31.9376636,0,0,7.22919989,Cherbourg,Mrs,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
1,3rd,female,23.75251296,0,0,7.73330021,Queenstown,Miss,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
1,3rd,female,19.46062963,1,0,15.5,Queenstown,Miss,0
1,3rd,female,19.46062963,1,0,15.5,Queenstown,Miss,0
1,3rd,female,24.03332354,0,0,15.5,Queenstown,Miss,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
0,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,1st,male,38.78556661,0,0,221.779205,Southampton,Mr,1
0,3rd,male,32.63490067,1,0,15.5,Queenstown,Mr,0
0,3rd,male,31.60848557,0,0,7.82919979,Queenstown,Mr,1
1,3rd,female,30.27176838,1,0,15.5,Queenstown,Mrs,0
0,3rd,male,30.2923353,0,0,7.73330021,Queenstown,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,female,27.23783767,0,0,7.75,Queenstown,Ms,1
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
1,3rd,female,24.21327665,0,0,7.87919998,Queenstown,Miss,1
1,1st,female,46.2966633,0,0,31.6833,Southampton,Mrs,1
1,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
1,3rd,female,24.23097949,0,0,7.82919979,Queenstown,Miss,1
0,3rd,male,28.93813683,0,0,7.3125,Southampton,Mr,1
1,1st,female,33.77274048,0,0,110.883301,Cherbourg,Miss,1
0,3rd,female,23.90074407,0,0,7.62919998,Queenstown,Miss,1
0,3rd,male,28.16179312,0,0,8.71249962,Cherbourg,Mr,1
0,3rd,male,30.03553815,0,0,7,Southampton,Mr,1
0,3rd,male,28.42336593,0,0,7.7750001,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
1,3rd,male,6.819229993,1,1,22.3582993,Cherbourg,Master,0
1,3rd,female,8.013894558,1,1,22.3582993,Cherbourg,Miss,0
1,3rd,female,28.73531609,0,2,22.3582993,Cherbourg,Mrs,0
0,3rd,female,23.94472163,0,0,8.13749981,Queenstown,Miss,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,female,35.43589781,0,0,8.11250019,Southampton,Mrs,1
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
0,3rd,male,28.96514966,0,0,7.25,Southampton,Mr,1
1,3rd,female,23.79731296,0,0,7.72079992,Queenstown,Miss,1
0,3rd,male,29.45705419,0,0,14.5,Southampton,Mr,1
0,3rd,female,35.44327731,0,0,14.5,Southampton,Mrs,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.42336593,0,0,7.7750001,Southampton,Mr,1
1,3rd,female,24.53010458,0,0,8.05000019,Southampton,Miss,1
1,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,34.35676501,0,0,24.1499996,Queenstown,Mr,1
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,Mr,1
0,3rd,male,30.2923353,0,0,7.72919989,Queenstown,Mr,1
0,3rd,male,28.84137123,0,0,7.57499981,Southampton,Mr,1
0,3rd,male,11.31903165,8,2,69.5500031,Southampton,Master,0
0,3rd,female,15.00885191,8,2,69.5500031,Southampton,Miss,0
0,3rd,female,15.00885191,8,2,69.5500031,Southampton,Miss,0
0,3rd,female,15.00885191,8,2,69.5500031,Southampton,Miss,0
0,3rd,female,15.00885191,8,2,69.5500031,Southampton,Miss,0
0,3rd,male,20.37112736,8,2,69.5500031,Southampton,Mr,0
0,3rd,male,20.37112736,8,2,69.5500031,Southampton,Mr,0
0,3rd,male,20.37112736,8,2,69.5500031,Southampton,Mr,0
0,3rd,male,38.5462127,1,9,69.5500031,Southampton,Mr,0
0,3rd,female,41.0373569,1,9,69.5500031,Southampton,Mrs,0
